feature,feature_importance
eastger_west,0.1063742042
altruism,0.0828823373
rural_urban,0.0751402229
medage_young,0.0679391846
mededucation_non-academic,0.0675483346
postalcode,0.0575602092
trust,0.0569829568
age,0.0564298108
patience,0.0563383587
income,0.0524814762
negrecip,0.0509050451
gender_male,0.0500381514
risk,0.0494436473
posrecip,0.0475260802
inhabitants,0.0468459092
education,0.0455352999
medincome_upper income half,0.0300287493
