age,income_section,state,nuts2,education,children,job_field_maingroup,religion,religion_practice,migration_b_germany,migration_b_country,migration_s_germany,migration_s_country,migration_region,climate_flood_affect,unemployment_rate,patent,job_Fulltime,job_Lehre,job_Other,job_Parttime,job_Pensioner,job_Selfemployed,job_Student (School),job_Student (Uni),"job_Unemployed, job seeking","job_Unemployed, not job seeking",marital_status_Divorced,marital_status_Married,marital_status_Umarried,marital_status_Widowed,gender_Diverse,gender_Female,gender_Male
0.004378400921928839,-0.007697149763953114,0.00525398820548736,3.422942182350143e-05,0.020640839252553382,-0.0012924770822376117,-0.02235940189060957,0.013071484916633251,-0.00582941302106981,-0.0003012995267047997,0.002773575537464823,0.070801054458668,-0.00020592804694983893,-0.01452798904569584,-0.0005392113355827201,0.0014353577466091894,-0.00039511716706510026,0.0,0.36563381125901334,-0.3552562623570545,-0.27300594478111506,-0.005950701606071426,-0.003992016974934517,0.37207273638924043,-0.10954862588743539,-0.01731707218800303,-0.006193810359920361,-0.012702467056962033,-0.008314122752264064,-0.0045498934662884395,-0.04997189340447451,0.31074633025560316,-0.2164671345083112,-0.012659417209093598
0.01801078474478433,0.000855238862661843,-0.006421541140039043,-0.0045296934880095785,0.020640839252553413,-0.0030717863656634886,0.017568101485479288,0.01307148491663314,0.009117799853468087,-0.0003012995267046887,0.0027735755374648707,-0.0014449194787483158,-0.0002059280469498865,0.013244398288772425,-0.0005392113355825774,0.0030947308640768634,0.0012534565122088726,0.0,-0.3805576402899934,-0.35525626235705454,0.34746211153960116,-0.005950701606071458,0.39520968051851924,-0.03235415099036874,-0.1095486258874353,-0.017317072188003046,-0.006193810359920219,-0.012702467056962001,-0.008314122752264286,-0.004549893466288487,-0.04997189340447442,0.3107463302556032,-0.21646713450831112,-0.012659417209093598
-0.0212825568622698,-0.00555905260729922,-0.004962099971848488,0.002316190876740406,-0.02266162071783837,-0.0010408933713306875,0.027549977329501096,0.013071484916634013,-0.0058294130210696515,-0.00030129952670470854,0.002773575537464799,-0.0014449194787483275,-0.00020592804694983497,0.013244398288772274,0.002977384305862204,-0.003542761605792707,-0.0003951171670650923,0.0,-0.3805576402899939,-0.3552562623570546,0.3474621115396011,-0.005950701606071497,-0.003992016974934597,-0.032354150990368716,-0.10954862588743518,-0.017317072188003196,-0.006193810359920274,-0.012702467056962005,-0.008314122752264261,-0.0045498934662884,-0.04997189340447433,-0.4119195540597528,-0.21646713450831104,-0.012659417209093573
-0.016471127277732558,-0.009835246920606635,0.002335105869105355,0.004978479240810352,-0.022661620717838362,0.01726678646136717,0.012577163563467941,-0.010270452434497606,-0.005829413021070111,0.009742018030119173,-0.031007152162426728,-0.0014449194787483316,0.006846402328046413,-0.01444496247668377,-0.0005392113355827043,0.007243163657745101,-0.0006113235512324455,0.0,-0.3805576402899938,-0.35525626235705454,-0.2730059447811148,-0.0059507016060713945,-0.0039920169749345326,-0.032354150990368744,0.3883996736009071,-0.017317072188003126,-0.00619381035992025,-0.012702467056962066,-0.008314122752264239,-0.004549893466288408,-0.04997189340447455,-0.4119195540597529,0.33857680012838387,-0.012659417209093622
0.01801078474478449,0.01796001611589055,0.006713429373678296,-0.006431328033773743,-0.022661620717838456,0.0172667864613677,-0.022359401890609334,0.013071484916633189,0.009117799853468627,-0.000301299526704657,0.0027735755374648707,-0.0014449194787483632,-0.00020592804694991823,-0.01444496247668343,-0.0005392113355828153,-0.00686150784072781,-0.0006924009452946896,0.0,-0.3805576402899938,0.3697565179634648,-0.2730059447811146,-0.005950701606071489,-0.003992016974934454,-0.03235415099036872,0.38839967360090716,-0.01731707218800314,-0.006193810359920314,-0.012702467056962066,-0.008314122752264333,-0.0045498934662884395,-0.04997189340447444,0.31074633025560333,-0.21646713450831126,-0.012659417209093613
-0.010857792762439256,-0.011973344077260029,0.0037945470372962664,0.006119459968268999,0.006206685929089351,0.017266786461367287,0.012577163563468339,-0.010270452434497503,0.0016441934161994004,-0.0003012995267047363,0.002773575537464918,-0.0014449194787483632,-0.0002059280469499658,-0.014140531723639731,-0.0005392113355827677,-0.010180254075662396,-0.0002870139749816377,0.0,-0.38055764028999395,0.3697565179634651,-0.2730059447811145,-0.005950701606071489,-0.003992016974934438,-0.03235415099036872,-0.10954862588743533,-0.01731707218800311,-0.0061938103599203775,0.3048592093670889,-0.008314122752264222,-0.0045498934662884395,-0.04997189340447461,0.3107463302556033,-0.2164671345083114,-0.01265941720909355
0.0011707811989037284,0.0029933360193148645,-0.006421541140040042,-0.0060510011246213925,0.020640839252553396,-0.023410359192695233,0.012577163563468052,0.013071484916632998,0.024065012728006405,-0.0003012995267046966,0.002773575537464823,-0.001444919478748268,-0.00020592804694979133,-0.01455566456869992,-0.0005392113355827756,-0.0010537019295917074,-0.0003951171670651795,0.0,-0.38055764028999384,-0.3552562623570548,-0.27300594478111523,-0.005950701606071529,-0.003992016974934501,-0.03235415099036887,-0.10954862588743529,-0.017317072188002935,-0.006193810359920259,-0.012702467056962066,-0.008314122752264222,-0.004549893466288479,-0.049971893404474575,0.31074633025560316,0.33857680012838387,-0.012659417209093629
0.009189830506466268,-0.009835246920606602,-0.0035026588036581635,-0.003769039669704496,-0.051529927364766144,0.01726678646136704,0.012577163563467822,0.013071484916633569,0.0016441934161994956,-0.0003012995267046966,0.002773575537464823,-0.0014449194787482839,-0.0002059280469498865,0.013244398288772339,-0.0005392113355826646,0.007243163657744895,-0.0003951171670647592,0.0,-0.38055764028999395,-0.3552562623570545,-0.2730059447811152,-0.005950701606071466,-0.0039920169749345326,-0.03235415099036869,-0.10954862588743534,-0.01731707218800325,-0.006193810359920298,-0.012702467056961977,-0.008314122752264277,0.22294477984813282,0.33442728662994475,-0.41191955405975283,0.33857680012838404,-0.012659417209093573
-0.006848268108657764,-0.003420955450645865,-0.00788098230823058,0.0045981523316579774,-0.008227467394374475,-0.0021353659321319434,-0.02235940189060892,-0.010270452434497432,0.009117799853468611,-0.0003012995267047204,0.002773575537464839,-0.0014449194787483316,-0.0002059280469498865,-0.014071342916129723,-0.0005392113355827519,-0.0060318212819937865,0.001956127260751545,0.0,0.3656338112590138,0.36975651796346515,-0.2730059447811147,-0.005950701606071489,-0.003992016974934517,-0.03235415099036868,-0.10954862588743534,-0.017317072188003126,-0.006193810359920282,-0.01270246705696197,-0.00831412275226419,-0.004549893466288392,-0.049971893404474596,-0.4119195540597525,-0.2164671345083112,-0.012659417209093582
-0.013263507554707352,-0.0012828582939924235,-0.006421541140039693,0.0030768446950466383,0.006206685929089605,-0.023410359192694723,0.0075862256414572305,0.013071484916633807,-0.005829413021069604,-0.000301299526704768,0.002773575537464807,-0.0014449194787483158,-0.0002059280469499341,-0.014168207246643996,-0.000539211335582958,-0.006031821281993691,-0.0003951171670647196,0.0,-0.38055764028999356,0.36975651796346476,0.3474621115396011,-0.005950701606071441,-0.003992016974934486,0.37207273638924093,-0.10954862588743526,-0.017317072188003175,-0.0061938103599202664,-0.01270246705696197,-0.008314122752264239,-0.004549893466288392,-0.049971893404474485,0.3107463302556033,-0.2164671345083112,-0.012659417209093646
