age,0.2783708872992191
income_section,0.3799006775124003
state,0.5606468048686701
nuts2,0.706837318521334
education,0.08815430497328577
children,0.18741194021957605
job_field_maingroup,0.12847644581326978
religion,0.30829998327897046
religion_practice,0.4568342845826714
migration_b_germany,0.8410396195622718
migration_b_country,0.138054033311442
migration_s_germany,0.20699268926406117
migration_s_country,0.8578459521041584
migration_region,0.22275242400716191
climate_flood_affect,0.9309630410777674
unemployment_rate,0.6341340495036734
patent,0.9261817807573858
job_Fulltime,0.17335837491395872
job_Lehre,1.95439146646101e-272
job_Other,5.0187751009146297e-256
job_Parttime,3.2465815879311657e-178
job_Pensioner,0.0015504096778976618
job_Selfemployed,2.3683248462289744e-07
job_Student (School),1.303414957801737e-35
job_Student (Uni),2.941374603462472e-81
"job_Unemployed, job seeking",1.3003107870850344e-10
"job_Unemployed, not job seeking",0.0013073953420296596
marital_status_Divorced,1.402246539907491e-07
marital_status_Married,2.8082847209155193e-10
marital_status_Umarried,9.23329640811409e-05
marital_status_Widowed,2.0390309690488426e-31
gender_Diverse,4.6350420181814695e-253
gender_Female,5.82915821109518e-125
gender_Male,3.82947530628192e-12
