age,0.7116437800548974
income_section,0.07338495922398183
state,0.020657949454921755
nuts2,0.02065794945486683
education,0.8479818023939849
children,0.2959668611752896
job_field_maingroup,0.11511381091625085
religion,0.7725164970621456
religion_practice,0.2567564179296469
migration_b_germany,0.6298287508924842
migration_b_country,0.11480979223738588
migration_s_germany,0.36813346948293013
migration_s_country,0.3681334694829218
migration_region,0.4405944461909307
subject_well_being,0.1365500514585787
innovation,0.9565356913212016
climate_flood_affect,0.4973754814033907
climate_trust_city,0.2094202154003456
climate_trust_state_gov,0.181661763114897
climate_trust_nat_gov,0.02856701683734678
climate_trust_companies,0.17983513309427726
climate_trust_scientist,0.004222601231752033
climate_trust_un,0.0562741249635498
climate_trust_eu,0.3839113389757359
politics_orientation,0.2766521942631151
politics_climate,3.910088676728102e-12
soc_inequ_climate,0.3104839806484509
covid_coping,0.23589651817983323
covid_finance,0.0545888078201685
unemployment_rate,0.019591801819504033
patent,0.010549414666170478
job_Fulltime,0.3627551387712489
job_Lehre,0.6221290873533187
job_Other,0.6280207703037095
job_Parttime,0.6045618369655712
job_Pensioner,0.5538778874945904
job_Selfemployed,0.3032550675029577
job_Student (Uni),0.9554363487798034
"job_Unemployed, job seeking",0.6912587250114872
"job_Unemployed, not job seeking",0.6920829174136034
marital_status_Divorced,0.5879947054992147
marital_status_Married,0.47861544230777475
marital_status_Umarried,0.3475428348306874
marital_status_Widowed,0.5731916477748873
gender_Female,0.007915321203834147
gender_Male,0.7810080356042332
politics_vote_AfD,0.0005398178966410879
politics_vote_Bündnis 90|Die Grünen,0.13734673154811866
politics_vote_CDU|CSU,0.16913786840803535
politics_vote_Die Linke,0.7621417400518917
politics_vote_FDP,0.5241605075735778
politics_vote_Other,0.03711445520685998
politics_vote_SPD,0.9215238780431718
